대여일시,자치구,총사용수
2024-01-01,강남구,1319
2024-01-01,강동구,1855
2024-01-01,강북구,731
2024-01-01,강서구,5668
2024-01-01,관악구,1438
2024-01-01,광진구,2295
2024-01-01,구로구,1954
2024-01-01,금천구,644
2024-01-01,노원구,2692
2024-01-01,도봉구,1093
2024-01-01,동대문구,1516
2024-01-01,동작구,1082
2024-01-01,마포구,2659
2024-01-01,서대문구,1063
2024-01-01,서초구,1210
2024-01-01,성동구,1595
2024-01-01,성북구,1024
2024-01-01,송파구,4092
2024-01-01,양천구,3467
2024-01-01,영등포구,4022
2024-01-01,용산구,1090
2024-01-01,은평구,1429
2024-01-01,종로구,1565
2024-01-01,중구,1062
2024-01-01,중랑구,1394
2024-01-02,강남구,2694
2024-01-02,강동구,3408
2024-01-02,강북구,1197
2024-01-02,강서구,11837
2024-01-02,관악구,2000
2024-01-02,광진구,3912
2024-01-02,구로구,3702
2024-01-02,금천구,1933
2024-01-02,노원구,4906
2024-01-02,도봉구,1880
2024-01-02,동대문구,2858
2024-01-02,동작구,1664
2024-01-02,마포구,3859
2024-01-02,서대문구,1668
2024-01-02,서초구,2455
2024-01-02,성동구,3489
2024-01-02,성북구,1933
2024-01-02,송파구,7586
2024-01-02,양천구,5753
2024-01-02,영등포구,8213
2024-01-02,용산구,1551
2024-01-02,은평구,2031
2024-01-02,종로구,2982
2024-01-02,중구,2120
2024-01-02,중랑구,2335
2024-01-03,강남구,2031
2024-01-03,강동구,2824
2024-01-03,강북구,975
2024-01-03,강서구,10732
2024-01-03,관악구,1529
2024-01-03,광진구,3403
2024-01-03,구로구,3050
2024-01-03,금천구,1363
2024-01-03,노원구,4209
2024-01-03,도봉구,1466
2024-01-03,동대문구,2443
2024-01-03,동작구,1286
2024-01-03,마포구,3231
2024-01-03,서대문구,1452
2024-01-03,서초구,2011
2024-01-03,성동구,2931
2024-01-03,성북구,1639
2024-01-03,송파구,5557
2024-01-03,양천구,4808
2024-01-03,영등포구,6497
2024-01-03,용산구,1258
2024-01-03,은평구,1661
2024-01-03,종로구,2683
2024-01-03,중구,1865
2024-01-03,중랑구,2064
2024-01-04,강남구,2795
2024-01-04,강동구,3690
2024-01-04,강북구,1222
2024-01-04,강서구,12613
