일자,자치구,총사용수(B),총사용수(S),평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2024-01-01,강남구,1319,95566,3.7,-0.9,7.1,0.0,0.028,0.013,0.65,0.0028,23.0,18.0
2024-01-01,강동구,1855,33742,2.9,-1.1,6.8,0.0,0.0305,0.0116,0.92,0.002,20.0,15.0
2024-01-01,강북구,731,22887,2.6,-1.4,6.5,0.0,0.0243,0.0157,0.71,0.0025,19.0,15.0
2024-01-01,강서구,5668,78185,3.5,-1.5,7.2,0.0,0.0354,0.0123,0.92,0.0033,29.0,19.0
2024-01-01,관악구,1438,64662,2.0,-1.3,5.6,0.0,0.0332,0.0115,0.87,0.0027,33.0,24.0
2024-01-01,광진구,2295,35607,3.6,-0.4,6.8,0.0,0.033,0.0133,0.79,0.0026,18.0,12.0
2024-01-01,구로구,1954,47542,3.3,-0.9,7.0,0.0,0.0218,0.0102,0.69,0.0026,30.0,24.0
2024-01-01,금천구,644,21926,3.9,0.4,7.1,0.0,0.0324,0.0117,0.89,0.0028,28.0,22.0
2024-01-01,노원구,2692,67258,1.9,-3.9,6.8,0.0,0.0281,0.0132,0.75,0.003,24.0,19.0
2024-01-01,도봉구,1093,42240,2.2,-2.4,6.9,0.0,0.027,0.0169,0.88,0.0029,18.0,16.0
2024-01-01,동대문구,1516,41544,3.4,-0.3,7.3,0.0,0.0301,0.0137,0.78,0.0031,23.0,17.0
2024-01-01,동작구,1082,37851,2.3,-2.5,7.2,0.0,0.0323,0.0129,0.71,0.0025,27.0,20.0
2024-01-01,마포구,2659,137641,3.8,0.8,8.3,0.0,0.0345,0.0117,0.81,0.0028,24.0,22.0
2024-01-01,서대문구,1063,39786,2.9,-0.9,6.7,0.0,0.0268,0.0165,1.04,0.0037,21.0,18.0
2024-01-01,서초구,1210,82573,3.4,-1.2,7.1,0.0,0.0252,0.0123,0.68,0.0027,27.0,20.0
2024-01-01,성동구,1595,44550,3.8,-0.1,7.4,0.0,0.0288,0.0116,0.66,0.0022,24.0,17.0
2024-01-01,성북구,1024,19333,3.1,-0.4,5.8,0.0,0.0262,0.0138,0.86,0.0023,21.0,17.0
2024-01-01,송파구,4092,64991,4.0,0.2,7.2,0.0,0.03,0.0123,0.71,0.0026,22.0,18.0
2024-01-01,양천구,3467,12638,4.1,0.9,7.1,0.0,0.0373,0.0117,0.88,0.0031,29.0,24.0
2024-01-01,영등포구,4022,106256,4.2,1.2,7.4,0.0,0.0305,0.0151,0.79,0.0029,25.0,21.0
2024-01-01,용산구,1090,0,,,,0.0,0.0301,0.0125,0.76,0.0026,21.0,15.0
2024-01-01,은평구,1429,52780,1.8,-3.0,7.2,0.0,0.0246,0.0139,1.13,0.0025,21.0,16.0
2024-01-01,종로구,1565,107995,2.1,-1.3,5.9,0.0,0.0278,0.0148,0.77,0.0033,22.0,19.0
2024-01-01,중구,1062,109039,1.9,-0.7,5.3,0.0,0.0304,0.0116,0.72,0.0031,18.0,20.0
2024-01-01,중랑구,1394,26606,3.6,-0.1,7.4,0.0,0.0304,0.0126,0.66,0.0024,21.0,15.0
2024-01-02,강남구,2694,386115,3.6,1.6,4.8,0.0,0.0241,0.0237,0.47,0.0028,42.0,30.0
2024-01-02,강동구,3408,89982,3.1,1.7,4.6,0.0,0.0297,0.0184,0.84,0.0021,38.0,30.0
2024-01-02,강북구,1197,44689,2.7,1.1,4.6,0.0,0.0133,0.0296,0.48,0.0025,35.0,26.0
2024-01-02,강서구,11837,177590,3.3,1.6,5.4,0.0,0.0249,0.0226,0.52,0.003,44.0,27.0
2024-01-02,관악구,2000,139441,1.5,-0.3,3.5,0.0,0.0246,0.0213,0.55,0.0026,45.0,29.0
2024-01-02,광진구,3912,58797,4.0,2.4,4.9,0.0,0.0282,0.0233,0.64,0.0026,38.0,26.0
2024-01-02,구로구,3702,123841,2.9,1.6,5.3,0.0,0.0171,0.0172,0.48,0.0024,45.0,30.0
2024-01-02,금천구,1933,98906,3.7,3.0,4.7,0.0,0.0324,0.0153,0.57,0.0028,45.0,34.0
2024-01-02,노원구,4906,156688,1.5,-1.1,4.8,0.0,0.0196,0.0244,0.49,0.0028,41.0,30.0
2024-01-02,도봉구,1880,87547,2.3,0.6,4.9,0.0,0.013,0.0336,0.53,0.0027,32.0,25.0
2024-01-02,동대문구,2858,95838,3.5,2.6,4.7,0.0,0.0196,0.0258,0.52,0.0029,41.0,28.0
2024-01-02,동작구,1664,84726,2.6,0.3,4.9,0.0,0.0305,0.0179,0.51,0.0024,45.0,33.0
2024-01-02,마포구,3859,245782,2.9,1.7,4.5,0.0,0.027,0.0202,0.53,0.0027,39.0,31.0
2024-01-02,서대문구,1668,88176,2.2,0.6,4.1,0.0,0.0212,0.0225,0.91,0.0031,39.0,30.0
2024-01-02,서초구,2455,142403,3.7,2.0,4.9,0.0,0.0199,0.0211,0.44,0.0026,43.0,30.0
2024-01-02,성동구,3489,116493,3.8,2.9,4.7,0.0,0.0223,0.0224,0.44,0.0022,39.0,26.0
2024-01-02,성북구,1933,44868,2.7,1.4,4.3,0.0,0.0184,0.0235,0.58,0.0022,38.0,28.0
2024-01-02,송파구,7586,184247,4.1,3.0,5.3,0.0,0.0274,0.0215,0.53,0.0026,42.0,30.0
2024-01-02,양천구,5753,34678,3.6,2.9,4.9,0.0,0.0278,0.0205,0.56,0.0029,44.0,34.0
2024-01-02,영등포구,8213,307632,3.7,3.1,5.0,0.0,0.0249,0.0234,0.52,0.0027,38.0,31.0
2024-01-02,용산구,1551,0,3.5,2.1,4.6,0.0,0.0219,0.0231,0.57,0.0024,40.0,27.0
2024-01-02,은평구,2031,117936,1.1,-0.8,4.7,0.0,0.0194,0.0195,0.99,0.0025,40.0,30.0
2024-01-02,종로구,2982,218983,1.8,1.1,2.9,0.0,0.0193,0.0259,0.55,0.0028,42.0,33.0
2024-01-02,중구,2120,257142,1.3,0.7,2.9,0.0,0.0207,0.0244,0.49,0.0028,35.0,30.0
2024-01-02,중랑구,2335,62391,3.7,2.7,4.7,0.0,0.0249,0.0213,0.5,0.0025,36.0,29.0
2024-01-03,강남구,2031,406235,2.2,0.5,5.0,0.5,0.0341,0.0134,0.51,0.003,43.0,30.0
2024-01-03,강동구,2824,93021,1.6,-0.4,3.8,0.5,0.0399,0.0087,0.89,0.0023,40.0,30.0
2024-01-03,강북구,975,45644,1.6,-1.4,3.2,0.5,0.0182,0.0232,0.5,0.0024,34.0,24.0
2024-01-03,강서구,10732,183398,2.2,-0.9,5.0,0.0,0.033,0.016,0.52,0.0032,46.0,27.0
2024-01-03,관악구,1529,148693,0.6,-2.8,3.5,3.5,0.0296,0.017,0.55,0.0027,49.0,30.0
2024-01-03,광진구,3403,61330,2.5,0.7,4.4,0.0,0.0434,0.0096,0.74,0.0028,38.0,25.0
2024-01-03,구로구,3050,128001,1.9,-0.9,4.8,0.0,0.0225,0.0137,0.5,0.0024,49.0,33.0
2024-01-03,금천구,1363,101136,2.4,0.4,4.5,2.0,0.0389,0.0105,0.66,0.0029,45.0,34.0
