일자,자치구,총사용수,type
2024-01-01,강남구,1319,Bike
2024-01-01,강동구,1855,Bike
2024-01-01,강북구,731,Bike
2024-01-01,강서구,5668,Bike
2024-01-01,관악구,1438,Bike
2024-01-01,광진구,2295,Bike
2024-01-01,구로구,1954,Bike
2024-01-01,금천구,644,Bike
2024-01-01,노원구,2692,Bike
2024-01-01,도봉구,1093,Bike
2024-01-01,동대문구,1516,Bike
2024-01-01,동작구,1082,Bike
2024-01-01,마포구,2659,Bike
2024-01-01,서대문구,1063,Bike
2024-01-01,서초구,1210,Bike
2024-01-01,성동구,1595,Bike
2024-01-01,성북구,1024,Bike
2024-01-01,송파구,4092,Bike
2024-01-01,양천구,3467,Bike
2024-01-01,영등포구,4022,Bike
2024-01-01,용산구,1090,Bike
2024-01-01,은평구,1429,Bike
2024-01-01,종로구,1565,Bike
2024-01-01,중구,1062,Bike
2024-01-01,중랑구,1394,Bike
2024-01-02,강남구,2694,Bike
2024-01-02,강동구,3408,Bike
2024-01-02,강북구,1197,Bike
2024-01-02,강서구,11837,Bike
2024-01-02,관악구,2000,Bike
2024-01-02,광진구,3912,Bike
2024-01-02,구로구,3702,Bike
2024-01-02,금천구,1933,Bike
2024-01-02,노원구,4906,Bike
2024-01-02,도봉구,1880,Bike
2024-01-02,동대문구,2858,Bike
2024-01-02,동작구,1664,Bike
2024-01-02,마포구,3859,Bike
2024-01-02,서대문구,1668,Bike
2024-01-02,서초구,2455,Bike
2024-01-02,성동구,3489,Bike
2024-01-02,성북구,1933,Bike
2024-01-02,송파구,7586,Bike
2024-01-02,양천구,5753,Bike
2024-01-02,영등포구,8213,Bike
2024-01-02,용산구,1551,Bike
2024-01-02,은평구,2031,Bike
2024-01-02,종로구,2982,Bike
2024-01-02,중구,2120,Bike
2024-01-02,중랑구,2335,Bike
2024-01-03,강남구,2031,Bike
2024-01-03,강동구,2824,Bike
2024-01-03,강북구,975,Bike
2024-01-03,강서구,10732,Bike
2024-01-03,관악구,1529,Bike
2024-01-03,광진구,3403,Bike
2024-01-03,구로구,3050,Bike
2024-01-03,금천구,1363,Bike
2024-01-03,노원구,4209,Bike
2024-01-03,도봉구,1466,Bike
2024-01-03,동대문구,2443,Bike
2024-01-03,동작구,1286,Bike
2024-01-03,마포구,3231,Bike
2024-01-03,서대문구,1452,Bike
2024-01-03,서초구,2011,Bike
2024-01-03,성동구,2931,Bike
2024-01-03,성북구,1639,Bike
2024-01-03,송파구,5557,Bike
2024-01-03,양천구,4808,Bike
2024-01-03,영등포구,6497,Bike
2024-01-03,용산구,1258,Bike
2024-01-03,은평구,1661,Bike
2024-01-03,종로구,2683,Bike
2024-01-03,중구,1865,Bike
2024-01-03,중랑구,2064,Bike
2024-01-04,강남구,2795,Bike
2024-01-04,강동구,3690,Bike
2024-01-04,강북구,1222,Bike
2024-01-04,강서구,12613,Bike
