일자,자치구,총사용수(B),총사용수(S)
2024-01-01,강남구,1319,95566
2024-01-01,강동구,1855,33742
2024-01-01,강북구,731,22887
2024-01-01,강서구,5668,78185
2024-01-01,관악구,1438,64662
2024-01-01,광진구,2295,35607
2024-01-01,구로구,1954,47542
2024-01-01,금천구,644,21926
2024-01-01,노원구,2692,67258
2024-01-01,도봉구,1093,42240
2024-01-01,동대문구,1516,41544
2024-01-01,동작구,1082,37851
2024-01-01,마포구,2659,137641
2024-01-01,서대문구,1063,39786
2024-01-01,서초구,1210,82573
2024-01-01,성동구,1595,44550
2024-01-01,성북구,1024,19333
2024-01-01,송파구,4092,64991
2024-01-01,양천구,3467,12638
2024-01-01,영등포구,4022,106256
2024-01-01,용산구,1090,0
2024-01-01,은평구,1429,52780
2024-01-01,종로구,1565,107995
2024-01-01,중구,1062,109039
2024-01-01,중랑구,1394,26606
2024-01-02,강남구,2694,386115
2024-01-02,강동구,3408,89982
2024-01-02,강북구,1197,44689
2024-01-02,강서구,11837,177590
2024-01-02,관악구,2000,139441
2024-01-02,광진구,3912,58797
2024-01-02,구로구,3702,123841
2024-01-02,금천구,1933,98906
2024-01-02,노원구,4906,156688
2024-01-02,도봉구,1880,87547
2024-01-02,동대문구,2858,95838
2024-01-02,동작구,1664,84726
2024-01-02,마포구,3859,245782
2024-01-02,서대문구,1668,88176
2024-01-02,서초구,2455,142403
2024-01-02,성동구,3489,116493
2024-01-02,성북구,1933,44868
2024-01-02,송파구,7586,184247
2024-01-02,양천구,5753,34678
2024-01-02,영등포구,8213,307632
2024-01-02,용산구,1551,0
2024-01-02,은평구,2031,117936
2024-01-02,종로구,2982,218983
2024-01-02,중구,2120,257142
2024-01-02,중랑구,2335,62391
2024-01-03,강남구,2031,406235
2024-01-03,강동구,2824,93021
2024-01-03,강북구,975,45644
2024-01-03,강서구,10732,183398
2024-01-03,관악구,1529,148693
2024-01-03,광진구,3403,61330
2024-01-03,구로구,3050,128001
2024-01-03,금천구,1363,101136
2024-01-03,노원구,4209,160440
2024-01-03,도봉구,1466,89596
2024-01-03,동대문구,2443,100575
2024-01-03,동작구,1286,88665
2024-01-03,마포구,3231,253373
2024-01-03,서대문구,1452,90933
2024-01-03,서초구,2011,143299
2024-01-03,성동구,2931,122127
2024-01-03,성북구,1639,46944
2024-01-03,송파구,5557,193314
2024-01-03,양천구,4808,35612
2024-01-03,영등포구,6497,320145
2024-01-03,용산구,1258,0
2024-01-03,은평구,1661,120775
2024-01-03,종로구,2683,238281
2024-01-03,중구,1865,263560
2024-01-03,중랑구,2064,64251
2024-01-04,강남구,2795,410754
2024-01-04,강동구,3690,94641
2024-01-04,강북구,1222,46799
2024-01-04,강서구,12613,185698
2024-01-04,관악구,2012,152832
2024-01-04,광진구,4107,69724
2024-01-04,구로구,3861,128413
2024-01-04,금천구,1909,102040
2024-01-04,노원구,5067,162728
2024-01-04,도봉구,1872,91974
2024-01-04,동대문구,3132,102869
2024-01-04,동작구,1656,90068
2024-01-04,마포구,3953,259438
2024-01-04,서대문구,1761,91581
2024-01-04,서초구,2580,145748
2024-01-04,성동구,3575,125256
2024-01-04,성북구,2128,47601
2024-01-04,송파구,7712,197026
2024-01-04,양천구,5808,36033
2024-01-04,영등포구,8076,323615
2024-01-04,용산구,1627,0
2024-01-04,은평구,2116,123178
2024-01-04,종로구,3364,243413
2024-01-04,중구,2509,265818
2024-01-04,중랑구,2491,65330
2024-01-05,강남구,2972,416787
2024-01-05,강동구,3996,97383
2024-01-05,강북구,1347,48489
2024-01-05,강서구,12845,190048
2024-01-05,관악구,2078,160233
2024-01-05,광진구,4359,66889
2024-01-05,구로구,3925,132034
2024-01-05,금천구,1893,102267
2024-01-05,노원구,5567,167243
2024-01-05,도봉구,2064,94901
2024-01-05,동대문구,3141,106738
2024-01-05,동작구,1737,94924
2024-01-05,마포구,4294,277347
2024-01-05,서대문구,1846,96029
2024-01-05,서초구,2611,154899
2024-01-05,성동구,3735,127198
2024-01-05,성북구,2210,49269
2024-01-05,송파구,8428,203634
2024-01-05,양천구,6190,36845
2024-01-05,영등포구,8457,334864
2024-01-05,용산구,1584,0
2024-01-05,은평구,2134,125925
2024-01-05,종로구,3425,248331
2024-01-05,중구,2611,272430
2024-01-05,중랑구,2683,67286
2024-01-06,강남구,1680,236737
2024-01-06,강동구,2591,63886
2024-01-06,강북구,929,37559
2024-01-06,강서구,6718,127751
2024-01-06,관악구,1620,127185
2024-01-06,광진구,2743,57782
2024-01-06,구로구,2305,85318
2024-01-06,금천구,850,38586
2024-01-06,노원구,4057,123943
2024-01-06,도봉구,1502,71860
2024-01-06,동대문구,1917,77311
2024-01-06,동작구,1143,71908
2024-01-06,마포구,2482,223297
2024-01-06,서대문구,1122,74246
2024-01-06,서초구,1569,124346
2024-01-06,성동구,1902,85319
2024-01-06,성북구,1468,33908
2024-01-06,송파구,5498,128258
2024-01-06,양천구,4062,25023
2024-01-06,영등포구,4566,211898
2024-01-06,용산구,1030,0
2024-01-06,은평구,1548,92232
