일자,자치구,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),이산화질소농도(ppm),오존농도(ppm),일산화탄소농도(ppm),아황산가스농도(ppm),미세먼지농도(㎍/㎥),초미세먼지농도(㎍/㎥)
2024-01-01,강남구,3.7,-0.9,7.1,0.0,0.028,0.013,0.65,0.0028,23.0,18.0
2024-01-02,강남구,3.6,1.6,4.8,0.0,0.0241,0.0237,0.47,0.0028,42.0,30.0
2024-01-03,강남구,2.2,0.5,5.0,0.5,0.0341,0.0134,0.51,0.003,43.0,30.0
2024-01-04,강남구,2.0,-2.6,5.3,0.0,0.0341,0.0139,0.63,0.0032,53.0,36.0
2024-01-05,강남구,5.5,2.2,10.2,0.0,0.0308,0.0233,0.69,0.0033,83.0,59.0
2024-01-06,강남구,1.6,-0.8,5.7,0.0,0.0192,0.0244,0.38,0.0031,23.0,13.0
2024-01-07,강남구,-3.1,-6.9,0.0,0.0,0.0102,0.0275,0.38,0.003,24.0,15.0
2024-01-08,강남구,-3.7,-8.5,0.7,0.0,0.0269,0.0119,0.45,0.0029,23.0,14.0
2024-01-09,강남구,-0.4,-1.7,0.5,1.5,0.0397,0.0031,0.47,0.0029,28.0,19.0
2024-01-10,강남구,0.2,-3.0,4.8,0.0,0.0422,0.0051,0.72,0.0031,68.0,56.0
2024-01-11,강남구,1.9,-2.4,4.9,0.0,0.0403,0.0077,0.62,0.0033,65.0,52.0
2024-01-12,강남구,2.3,-0.8,5.8,0.0,0.0254,0.0233,0.53,0.0034,58.0,39.0
2024-01-13,강남구,1.0,-2.6,6.3,0.0,0.0307,0.0173,0.46,0.0035,24.0,12.0
2024-01-14,강남구,0.0,-2.5,3.5,2.5,0.0355,0.008,0.61,0.003,31.0,23.0
2024-01-15,강남구,-2.2,-5.0,1.6,0.0,0.0203,0.0238,0.39,0.0032,23.0,12.0
2024-01-16,강남구,-1.8,-6.7,4.7,0.0,0.037,0.0116,0.53,0.0033,31.0,18.0
2024-01-17,강남구,0.6,-2.4,1.9,9.0,0.0429,0.0021,0.62,0.0032,36.0,26.0
2024-01-18,강남구,5.1,1.7,10.4,1.0,0.0308,0.0133,0.52,0.0032,27.0,21.0
2024-01-19,강남구,6.0,4.7,9.8,0.0,0.0179,0.0303,0.35,0.0026,15.0,9.0
2024-01-20,강남구,3.9,2.2,6.0,0.5,0.0136,0.0317,0.27,0.0021,5.0,2.0
2024-01-21,강남구,2.6,-1.5,5.2,0.0,0.0159,0.0264,0.34,0.002,10.0,7.0
2024-01-22,강남구,-7.6,-11.1,-1.4,0.0,0.012,0.0286,0.37,0.0019,31.0,22.0
2024-01-23,강남구,-10.8,-12.9,-7.5,0.0,0.0104,0.0294,0.33,0.0022,20.0,13.0
