사용일자,역명,승차총승객수
20240101,애오개,2130
20240101,정부과천청사,3320
20240101,인덕원,8264
20240101,평촌,4908
20240101,범계,10865
20240101,선릉,2195
20240101,한티,5244
20240101,도곡,2351
20240101,구룡,932
20240101,개포동,1530
20240101,대모산입구,2019
20240101,수서,8031
20240101,수원,5796
20240101,서울숲,4907
20240101,압구정로데오,6451
20240101,강남구청,1853
20240101,선정릉,1391
20240101,가천대,2642
20240101,태평,6660
20240101,모란,8925
20240101,야탑,10794
20240101,서현,11784
20240101,수내,3988
20240101,정자,5328
20240101,미금,6037
20240101,오리,4008
20240101,이매,2256
20240101,보정,874
20240101,죽전,5195
20240101,구성,1838
20240101,신갈,1480
20240101,기흥,4012
20240101,상갈,2339
20240101,청명,1523
20240101,영통,3975
20240101,망포,5209
20240101,매탄권선,2233
20240101,수원시청,6921
20240101,매교,2019
20240101,김포공항,2859
20240101,원종,2386
20240101,부천종합운동장,977
20240101,고색,1694
20240101,오목천,1617
20240101,어천,836
20240101,야목,189
20240101,사리,2612
20240101,달월,65
20240101,월곶,1509
20240101,소래포구,4086
20240101,인천논현,2539
20240101,호구포,1475
20240101,남동인더스파크,478
20240101,당곡,2018
20240101,정왕,5624
20240101,오이도,5529
20240101,수리산,1734
20240101,북한산우이,3508
20240101,솔밭공원,1287
20240101,4.19민주묘지,1584
20240101,가오리,2120
20240101,화계,1858
20240101,삼양,1013
20240101,삼양사거리,1294
20240101,솔샘,2465
20240101,북한산보국문,3041
20240101,지평,54
20240101,백석,4740
20240101,마두,2778
20240101,정발산,3618
20240101,주엽,4160
20240101,대화,4859
20240101,신길온천,1224
20240101,덕정,2801
20240101,덕계,2408
20240101,양주,4031
20240101,녹양,2185
20240101,원덕,272
20240101,양평,2162
20240101,오빈,188
20240101,아신,398
20240101,국수,425
20240101,신원,113
20240101,양수,1395
20240101,운길산,711
20240101,팔당,872
20240101,도심,1015
20240101,덕소,2683
20240101,양정,246
20240101,도농,4365
20240101,구리,5909
20240101,양원,1098
20240101,망우,3771
20240101,상봉(시외버스터미널),2937
20240101,중랑,2598
20240101,회기,11385
20240101,신창(순천향대),825
20240101,온양온천,4222
20240101,배방,773
20240101,탕정,854
20240101,아산,3740
20240101,안산,10189
20240101,초지,2235
20240101,고잔,3611
20240101,중앙,10609
20240101,한대앞,4290
20240101,상록수,7466
20240101,반월,2062
20240101,대야미,2678
20240101,산본,7583
20240101,관악산(서울대),2461
20240101,서울대벤처타운,4823
20240101,서원,1656
20240101,신림,923
20240101,정릉,2276
20240101,성신여대입구(돈암),2011
20240101,보문,839
20240101,신설동,1094
20240101,원흥,4574
20240101,지축,1
20240101,삼송,9608
20240101,원당,4938
20240101,화정,8005
20240101,대곡,1255
20240101,복정,1
20240101,용문,1674
20240101,동두천중앙,1952
20240101,봉명,570
20240101,쌍용(나사렛대),1304
20240101,지행,3978
20240101,보라매병원,2038
20240101,보라매공원,812
20240101,보라매,1581
20240101,서울지방병무청,1222
20240101,대방,1229
20240101,샛강,705
20240101,인천,1182
20240101,신포,1062
20240101,숭의,1963
20240101,인하대,2765
20240101,송도,1421
20240101,연수,2622
20240101,원인재,2391
20240101,갈매,1103
20240101,별내,1451
20240101,퇴계원,1796
20240101,사릉,905
20240101,금곡,675
20240101,평내호평,2665
20240101,천마산,881
20240101,마석,2014
20240101,대성리,490
20240101,청평,1406
20240101,상천,179
20240101,가평,1663
20240101,굴봉산,122
20240101,백양리,353
20240101,강촌,421
20240101,김유정,346
20240101,남춘천,2499
20240101,춘천,1749
20240101,서울역,12273
20240101,공덕,1516
20240101,홍대입구,11502
20240101,디지털미디어시티,3408
20240101,마곡나루(서울식물원),2654
20240101,김포공항,8510
20240101,계양,5578
20240101,검암,3092
20240101,청라국제도시,3282
20240101,운서,6908
20240101,공항화물청사,941
20240101,인천공항1터미널,13616
20240101,인천공항2터미널,6663
20240101,영종,2746
20240101,선바위,2578
20240101,경마공원,345
20240101,간석,2824
20240101,부개,4209
20240101,소사,3940
20240101,구일,2573
20240101,인천,3957
20240101,동인천,7609
20240101,제물포,4386
20240101,주안,10057
20240101,동암,8454
20240101,백운,3519
20240101,부평,19621
20240101,송내,10213
20240101,부천,19559
20240101,역곡,11483
20240101,오류동,5729
20240101,개봉,9617
20240101,계양,1
20240101,운천,2
20240101,임진강,49
20240101,문산,3352
20240101,파주,619
20240101,월롱,690
20240101,대공원,2569
20240101,금촌,4092
20240101,금릉,2756
20240101,운정,3219
20240101,야당,5224
20240101,탄현,3725
20240101,일산,4784
20240101,풍산,3097
20240101,백마,2952
20240101,곡산,302
20240101,능곡,2294
20240101,행신,3858
20240101,강매,1176
20240101,화전,656
20240101,수색,1035
20240101,디지털미디어시티,1251
20240101,가좌,2336
20240101,홍대입구,1401
20240101,서강대,943
20240101,공덕,1775
20240101,효창공원앞,1109
20240101,도원,1339
20240101,신촌,257
20240101,서울역,1122
20240101,연천,2296
20240101,전곡,1286
20240101,초성리,157
20240101,소요산,2302
20240101,동두천,968
20240101,보산,1160
20240101,가능,3276
20240101,의정부,10974
20240101,회룡,5999
20240101,망월사,3410
20240101,도봉산,6631
20240101,도봉,2726
20240101,방학,4861
20240101,녹천,1920
20240101,월계,2962
20240101,광운대,3646
20240101,석계,3880
20240101,신이문,3915
20240101,외대앞,3986
20240101,청량리(서울시립대입구),13463
20240101,왕십리(성동구청),9279
20240101,응봉,1542
20240101,옥수,74
20240101,한남,1534
20240101,서빙고,851
20240101,이촌(국립중앙박물관),1647
20240101,광명,3105
20240101,서동탄,661
20240101,당정,2386
20240101,천안,6676
20240101,두정,4421
20240101,직산,532
20240101,성환,2487
20240101,평택,11494
20240101,평택지제,3279
20240101,서정리,4462
20240101,송탄,3204
20240101,진위,808
20240101,오산,7635
20240101,오산대,1960
20240101,세마,1664
20240101,병점,8238
20240101,세류,2001
20240101,독산,4800
20240101,수원,33612
20240101,화서,3866
20240101,성균관대,6845
20240101,의왕,3366
20240101,군포,2457
20240101,금정,11662
20240101,명학,2344
20240101,안양,10944
20240101,관악,3593
20240101,석수,3928
20240101,금천구청,4756
20240101,가산디지털단지,4249
20240101,구로,8331
20240101,신길,3601
20240101,신도림,1516
20240101,영등포,28155
20240101,대방,3701
20240101,노량진,5712
20240101,용산,37168
20240101,남영,3428
20240101,서울역,11806
20240101,여주,2377
20240101,세종대왕릉,263
20240101,부발,1306
20240101,이천,1969
20240101,신둔도예촌,760
20240101,곤지암,1440
20240101,초월,1478
20240101,고속터미널,10854
20240101,신반포,1325
20240101,구반포,263
20240101,동작(현충원),1537
20240101,흑석(중앙대입구),3243
20240101,노들,2207
20240101,노량진,12172
20240101,샛강,1821
20240101,여의도,5476
20240101,국회의사당,3696
20240101,당산,6972
20240101,선유도,2637
20240101,신목동,1507
20240101,염창,6585
20240101,등촌,4140
20240101,증미,2033
20240101,가양,7913
20240101,양천향교,3279
20240101,마곡나루(서울식물원),4387
20240101,신방화,2823
20240101,공항시장,1325
20240101,김포공항,6179
20240101,개화,967
20240101,남위례,2420
20240101,모란,2614
20240101,수진,2395
20240101,신흥,2612
20240101,단대오거리,4854
20240101,남한산성입구(성남법원.검찰청),5174
20240101,산성,2969
20240101,복정,2961
20240101,장지,7633
20240101,문정,3831
20240101,가락시장,2665
20240101,송파,3493
20240101,석촌,3390
20240101,잠실(송파구청),10394
20240101,몽촌토성(평화의문),4125
20240101,강동구청,3718
20240101,천호(풍납토성),6713
20240101,온수(성공회대입구),2923
20240101,암사,7218
20240101,온수(성공회대입구),3022
20240101,천왕,4019
20240101,광명사거리,9745
20240101,철산,8100
20240101,가산디지털단지,8121
20240101,남구로,5994
20240101,대림(구로구청),7624
20240101,신풍,4446
20240101,보라매,2529
20240101,신대방삼거리,5981
20240101,장승배기,3440
20240101,상도,4283
20240101,숭실대입구(살피재),4385
20240101,남성,4306
20240101,이수,6263
20240101,내방,3725
20240101,고속터미널,15279
20240101,반포,2528
20240101,논현,4501
20240101,학동,3494
20240101,강남구청,3136
20240101,청담,4870
20240101,뚝섬유원지,5967
20240101,건대입구,6622
20240101,어린이대공원(세종대),5634
20240101,군자(능동),6410
20240101,중곡,4265
20240101,용마산(용마폭포공원),2643
20240101,사가정,7164
20240101,면목,6170
20240101,상봉(시외버스터미널),7419
20240101,중화,4348
20240101,먹골,4317
20240101,태릉입구,3755
20240101,공릉(서울과학기술대),5031
20240101,하계,6851
20240101,중계,5328
20240101,노원,10499
20240101,마들,5259
20240101,수락산,5661
20240101,도봉산,3706
20240101,장암,887
20240101,봉화산(서울의료원),3199
20240101,화랑대(서울여대입구),3802
20240101,태릉입구,2653
20240101,석계,5112
20240101,돌곶이,5024
20240101,상월곡(한국과학기술연구원),2398
20240101,월곡(동덕여대),4176
20240101,고려대(종암),3093
20240101,안암(고대병원앞),3567
20240101,보문,3002
20240101,창신,1242
20240101,동묘앞,4720
20240101,신당,3880
20240101,청구,1474
20240101,약수,1416
20240101,버티고개,983
20240101,한강진,5159
20240101,이태원,12392
20240101,녹사평(용산구청),2968
20240101,삼각지,2810
20240101,효창공원앞,2507
20240101,공덕,6413
20240101,대흥(서강대앞),2810
20240101,광흥창(서강),3262
20240101,상수,7060
20240101,합정,7455
20240101,망원,7629
20240101,마포구청,5572
20240101,월드컵경기장(성산),4337
20240101,디지털미디어시티,4597
20240101,증산(명지대앞),4441
20240101,새절(신사),5232
20240101,구산,3335
20240101,독바위,1186
20240101,불광,2416
20240101,역촌,1729
20240101,응암,7803
20240101,하남검단산,4442
20240101,하남시청(덕풍·신장),3675
20240101,하남풍산,2053
20240101,미사,8422
20240101,강일,2389
20240101,마천,3027
20240101,거여,3594
20240101,개롱,2362
20240101,오금,1135
20240101,방이,2766
20240101,올림픽공원(한국체대),1812
20240101,둔촌동,3320
20240101,상일동,5217
20240101,고덕,3758
20240101,명일,3605
20240101,굽은다리(강동구민회관앞),4622
20240101,길동,3714
20240101,강동,6910
20240101,천호(풍납토성),9424
20240101,광나루(장신대),6954
20240101,아차산(어린이대공원후문),11259
20240101,군자(능동),5139
20240101,장한평,6339
20240101,답십리,6081
20240101,마장,2394
20240101,왕십리(성동구청),2213
20240101,행당,3180
20240101,신금호,2501
20240101,청구,1460
20240101,동대문역사문화공원(DDP),914
20240101,을지로4가,1798
20240101,종로3가,9771
20240101,광화문(세종문화회관),16418
20240101,서대문,4596
20240101,충정로(경기대입구),954
20240101,공덕,3987
20240101,마포,4737
20240101,여의나루,5288
20240101,여의도,5073
20240101,신길,2005
20240101,영등포시장,4535
20240101,영등포구청,1248
20240101,양평,2052
20240101,오목교(목동운동장앞),7888
20240101,목동,6056
20240101,신정(은행정),5164
20240101,까치산,12489
20240101,화곡,11693
20240101,우장산,5515
20240101,발산,8268
20240101,마곡,3039
20240101,송정,3013
20240101,김포공항,7067
20240101,개화산,2633
20240101,방화,3784
20240101,남태령,543
20240101,사당,11389
20240101,총신대입구(이수),7880
20240101,동작(현충원),1087
20240101,이촌(국립중앙박물관),2940
20240101,신용산,8870
20240101,삼각지,2422
20240101,숙대입구(갈월),5462
20240101,서울역,4909
20240101,회현(남대문시장),8389
20240101,명동,26822
20240101,충무로,10096
20240101,동대문역사문화공원(DDP),11310
20240101,동대문,7052
20240101,혜화,19137
20240101,한성대입구(삼선교),5882
20240101,성신여대입구(돈암),10415
20240101,길음,8192
20240101,미아사거리,12197
20240101,미아(서울사이버대학),6425
20240101,수유(강북구청),16724
20240101,쌍문,12198
20240101,창동,12118
20240101,노원,14015
20240101,상계,8544
20240101,당고개,4693
20240101,오금,1891
20240101,경찰병원,2405
20240101,가락시장,3069
20240101,수서,9614
20240101,일원,3065
20240101,대청,3438
20240101,학여울,615
20240101,대치,4769
20240101,도곡,1435
20240101,매봉,3089
20240101,양재(서초구청),8624
20240101,남부터미널(예술의전당),12778
20240101,교대(법원.검찰청),3499
20240101,고속터미널,39392
20240101,잠원,1963
20240101,신사,9592
20240101,압구정,9048
20240101,옥수,4231
20240101,금호,3367
20240101,약수,5513
20240101,동대입구,4848
20240101,을지로3가,4079
20240101,종로3가,4274
20240101,안국,13015
20240101,경복궁(정부서울청사),13817
20240101,독립문,3412
20240101,무악재,1939
20240101,홍제,8039
20240101,녹번,5701
20240101,불광,7949
20240101,연신내,16079
20240101,구파발,9917
20240101,지축,2933
20240101,용두(동대문구청),1053
20240101,신정네거리,4035
20240101,양천구청,2547
