사용일자,자치구,승차총승객수
20240101,강남구,95566
20240101,강동구,33742
20240101,강북구,22887
20240101,강서구,78185
20240101,관악구,64662
20240101,광진구,35607
20240101,구로구,47542
20240101,금천구,21926
20240101,노원구,67258
20240101,도봉구,42240
20240101,동대문구,41544
20240101,동작구,37851
20240101,마포구,137641
20240101,서대문구,39786
20240101,서초구,82573
20240101,성동구,44550
20240101,성북구,19333
20240101,송파구,64991
20240101,양천구,12638
20240101,영등포구,106256
20240101,은평구,52780
20240101,종로구,107995
20240101,중구,109039
20240101,중랑구,26606
20240102,강남구,386115
20240102,강동구,89982
20240102,강북구,44689
20240102,강서구,177590
20240102,관악구,139441
20240102,광진구,58797
20240102,구로구,123841
20240102,금천구,98906
20240102,노원구,156688
20240102,도봉구,87547
20240102,동대문구,95838
20240102,동작구,84726
20240102,마포구,245782
20240102,서대문구,88176
20240102,서초구,142403
20240102,성동구,116493
20240102,성북구,44868
20240102,송파구,184247
20240102,양천구,34678
20240102,영등포구,307632
20240102,은평구,117936
20240102,종로구,218983
20240102,중구,257142
20240102,중랑구,62391
20240103,강남구,406235
20240103,강동구,93021
20240103,강북구,45644
20240103,강서구,183398
20240103,관악구,148693
20240103,광진구,61330
20240103,구로구,128001
20240103,금천구,101136
20240103,노원구,160440
20240103,도봉구,89596
20240103,동대문구,100575
20240103,동작구,88665
20240103,마포구,253373
20240103,서대문구,90933
20240103,서초구,143299
20240103,성동구,122127
20240103,성북구,46944
20240103,송파구,193314
20240103,양천구,35612
20240103,영등포구,320145
20240103,은평구,120775
20240103,종로구,238281
20240103,중구,263560
20240103,중랑구,64251
20240104,강남구,410754
20240104,강동구,94641
20240104,강북구,46799
20240104,강서구,185698
20240104,관악구,152832
20240104,광진구,69724
20240104,구로구,128413
20240104,금천구,102040
20240104,노원구,162728
20240104,도봉구,91974
20240104,동대문구,102869
20240104,동작구,90068
20240104,마포구,259438
20240104,서대문구,91581
20240104,서초구,145748
20240104,성동구,125256
20240104,성북구,47601
20240104,송파구,197026
20240104,양천구,36033
20240104,영등포구,323615
20240104,은평구,123178
20240104,종로구,243413
20240104,중구,265818
20240104,중랑구,65330
20240105,강남구,416787
20240105,강동구,97383
20240105,강북구,48489
20240105,강서구,190048
20240105,관악구,160233
20240105,광진구,66889
20240105,구로구,132034
20240105,금천구,102267
20240105,노원구,167243
20240105,도봉구,94901
20240105,동대문구,106738
20240105,동작구,94924
20240105,마포구,277347
20240105,서대문구,96029
20240105,서초구,154899
20240105,성동구,127198
20240105,성북구,49269
20240105,송파구,203634
20240105,양천구,36845
20240105,영등포구,334864
20240105,은평구,125925
20240105,종로구,248331
20240105,중구,272430
20240105,중랑구,67286
20240106,강남구,236737
20240106,강동구,63886
20240106,강북구,37559
20240106,강서구,127751
20240106,관악구,127185
20240106,광진구,57782
20240106,구로구,85318
20240106,금천구,38586
20240106,노원구,123943
20240106,도봉구,71860
20240106,동대문구,77311
20240106,동작구,71908
20240106,마포구,223297
20240106,서대문구,74246
20240106,서초구,124346
20240106,성동구,85319
20240106,성북구,33908
20240106,송파구,128258
20240106,양천구,25023
20240106,영등포구,211898
20240106,은평구,92232
20240106,종로구,187385
20240106,중구,163848
20240106,중랑구,48499
20240107,강남구,138817
20240107,강동구,45190
20240107,강북구,27343
20240107,강서구,94275
20240107,관악구,89810
20240107,광진구,42464
20240107,구로구,59407
20240107,금천구,25918
20240107,노원구,87754
20240107,도봉구,53158
20240107,동대문구,54642
20240107,동작구,51687
20240107,마포구,166106
20240107,서대문구,55246
20240107,서초구,100067
20240107,성동구,65377
20240107,성북구,25794
20240107,송파구,89164
20240107,양천구,16797
20240107,영등포구,152706
20240107,은평구,64810
20240107,종로구,118782
20240107,중구,121593
20240107,중랑구,34046
20240108,강남구,397338
20240108,강동구,90955
20240108,강북구,44229
20240108,강서구,177254
20240108,관악구,145260
20240108,광진구,59985
20240108,구로구,124026
20240108,금천구,100741
20240108,노원구,154579
20240108,도봉구,86389
20240108,동대문구,96071
20240108,동작구,87366
20240108,마포구,248123
20240108,서대문구,88537
20240108,서초구,141515
20240108,성동구,117351
20240108,성북구,45251
20240108,송파구,188290
20240108,양천구,34608
20240108,영등포구,311334
20240108,은평구,116779
20240108,종로구,224950
20240108,중구,251288
20240108,중랑구,62361
20240109,강남구,418420
20240109,강동구,96974
20240109,강북구,45580
20240109,강서구,186604
20240109,관악구,150110
20240109,광진구,61680
20240109,구로구,128992
20240109,금천구,104280
20240109,노원구,161904
20240109,도봉구,89722
20240109,동대문구,98810
20240109,동작구,90185
20240109,마포구,256756
20240109,서대문구,92133
20240109,서초구,147231
20240109,성동구,124629
20240109,성북구,47411
20240109,송파구,203571
20240109,양천구,36833
20240109,영등포구,327135
20240109,은평구,120809
20240109,종로구,236080
20240109,중구,262055
20240109,중랑구,65268
20240110,강남구,415073
20240110,강동구,96735
20240110,강북구,46698
20240110,강서구,188119
20240110,관악구,155795
20240110,광진구,63791
20240110,구로구,130519
20240110,금천구,103416
20240110,노원구,165969
20240110,도봉구,92767
20240110,동대문구,102660
20240110,동작구,91949
20240110,마포구,265249
20240110,서대문구,94246
20240110,서초구,146316
20240110,성동구,125533
20240110,성북구,48508
20240110,송파구,201660
20240110,양천구,36749
20240110,영등포구,329893
20240110,은평구,124327
20240110,종로구,244232
20240110,중구,267243
20240110,중랑구,66244
20240111,강남구,418745
20240111,강동구,95711
20240111,강북구,47357
20240111,강서구,187308
20240111,관악구,157730
20240111,광진구,63274
20240111,구로구,130247
20240111,금천구,103512
20240111,노원구,164085
20240111,도봉구,92243
20240111,동대문구,103443
20240111,동작구,92206
20240111,마포구,266822
20240111,서대문구,93998
20240111,서초구,150138
20240111,성동구,123209
20240111,성북구,48515
20240111,송파구,199344
20240111,양천구,36884
20240111,영등포구,330984
20240111,은평구,124181
20240111,종로구,247071
20240111,중구,263690
20240111,중랑구,65765
20240112,강남구,425884
20240112,강동구,97928
20240112,강북구,47827
20240112,강서구,192395
20240112,관악구,165298
20240112,광진구,66981
20240112,구로구,132596
20240112,금천구,103335
20240112,노원구,169029
20240112,도봉구,95576
20240112,동대문구,106762
20240112,동작구,97770
20240112,마포구,277724
20240112,서대문구,98251
20240112,서초구,160645
20240112,성동구,126947
20240112,성북구,49127
20240112,송파구,204400
20240112,양천구,37408
20240112,영등포구,343509
20240112,은평구,127051
20240112,종로구,251196
20240112,중구,272056
20240112,중랑구,67411
20240113,강남구,246712
20240113,강동구,65747
20240113,강북구,39809
20240113,강서구,132010
20240113,관악구,133386
20240113,광진구,57819
20240113,구로구,88144
20240113,금천구,40467
20240113,노원구,128141
20240113,도봉구,73743
20240113,동대문구,79645
20240113,동작구,75364
20240113,마포구,232970
20240113,서대문구,77495
20240113,서초구,130672
20240113,성동구,82744
20240113,성북구,34826
20240113,송파구,133844
20240113,양천구,25233
20240113,영등포구,226101
20240113,은평구,94983
20240113,종로구,191740
20240113,중구,163713
20240113,중랑구,50060
20240114,강남구,137121
20240114,강동구,43984
20240114,강북구,25736
20240114,강서구,92159
20240114,관악구,88514
20240114,광진구,39131
20240114,구로구,58560
20240114,금천구,25653
20240114,노원구,86305
20240114,도봉구,51087
20240114,동대문구,50681
20240114,동작구,47190
20240114,마포구,162769
20240114,서대문구,50788
20240114,서초구,100787
20240114,성동구,53446
20240114,성북구,25291
20240114,송파구,88886
20240114,양천구,16331
20240114,영등포구,152687
20240114,은평구,63305
20240114,종로구,115465
20240114,중구,111533
20240114,중랑구,45789
20240115,강남구,402629
20240115,강동구,92934
20240115,강북구,44771
20240115,강서구,182660
20240115,관악구,147528
20240115,광진구,60071
20240115,구로구,125733
20240115,금천구,101475
20240115,노원구,157232
20240115,도봉구,87790
20240115,동대문구,98810
20240115,동작구,88552
20240115,마포구,254500
20240115,서대문구,90184
20240115,서초구,143109
20240115,성동구,115680
20240115,성북구,46260
20240115,송파구,190818
20240115,양천구,35124
20240115,영등포구,316383
20240115,은평구,119118
20240115,종로구,228503
20240115,중구,252520
20240115,중랑구,86926
20240116,강남구,416164
20240116,강동구,95256
20240116,강북구,45915
20240116,강서구,186490
20240116,관악구,152692
20240116,광진구,61822
20240116,구로구,129149
20240116,금천구,102491
20240116,노원구,161372
20240116,도봉구,91711
20240116,동대문구,100975
20240116,동작구,90584
20240116,마포구,259472
20240116,서대문구,92725
20240116,서초구,145702
20240116,성동구,120779
20240116,성북구,47284
20240116,송파구,196755
20240116,양천구,36661
20240116,영등포구,324929
20240116,은평구,122807
20240116,종로구,238583
20240116,중구,261593
20240116,중랑구,89012
20240117,강남구,419504
20240117,강동구,96056
20240117,강북구,45457
20240117,강서구,186334
20240117,관악구,153534
20240117,광진구,62102
20240117,구로구,128374
20240117,금천구,102606
20240117,노원구,162856
20240117,도봉구,91026
20240117,동대문구,102423
20240117,동작구,90811
20240117,마포구,262182
20240117,서대문구,92470
20240117,서초구,148839
20240117,성동구,121518
20240117,성북구,47569
20240117,송파구,199792
20240117,양천구,36025
20240117,영등포구,330425
20240117,은평구,121758
20240117,종로구,247617
20240117,중구,269372
20240117,중랑구,88747
20240118,강남구,418061
20240118,강동구,96732
20240118,강북구,46641
20240118,강서구,189124
20240118,관악구,156900
20240118,광진구,63400
20240118,구로구,130664
20240118,금천구,103327
20240118,노원구,163796
20240118,도봉구,92370
20240118,동대문구,104512
20240118,동작구,92737
20240118,마포구,266040
20240118,서대문구,92541
20240118,서초구,149178
20240118,성동구,122706
20240118,성북구,48340
20240118,송파구,201658
20240118,양천구,36927
20240118,영등포구,332370
20240118,은평구,123947
20240118,종로구,248113
20240118,중구,266273
20240118,중랑구,90307
20240119,강남구,423334
20240119,강동구,98106
20240119,강북구,48409
20240119,강서구,193018
20240119,관악구,165728
20240119,광진구,66669
20240119,구로구,132852
20240119,금천구,102872
20240119,노원구,169206
20240119,도봉구,97062
20240119,동대문구,108136
20240119,동작구,97732
20240119,마포구,278352
20240119,서대문구,95210
20240119,서초구,160615
20240119,성동구,126083
20240119,성북구,49302
20240119,송파구,209673
20240119,양천구,37410
20240119,영등포구,341143
20240119,은평구,127589
20240119,종로구,256136
20240119,중구,272411
20240119,중랑구,92887
20240120,강남구,242404
20240120,강동구,66809
20240120,강북구,38354
20240120,강서구,130443
20240120,관악구,131719
20240120,광진구,56575
20240120,구로구,86210
20240120,금천구,39490
20240120,노원구,125377
20240120,도봉구,72002
20240120,동대문구,78253
20240120,동작구,73505
20240120,마포구,226328
20240120,서대문구,75191
20240120,서초구,130066
20240120,성동구,81779
20240120,성북구,34700
20240120,송파구,133525
20240120,양천구,24664
20240120,영등포구,221245
20240120,은평구,93202
20240120,종로구,193011
20240120,중구,164044
20240120,중랑구,68557
20240121,강남구,141832
20240121,강동구,46052
20240121,강북구,28249
20240121,강서구,97032
20240121,관악구,91368
20240121,광진구,42140
20240121,구로구,62505
20240121,금천구,27297
20240121,노원구,91447
20240121,도봉구,54939
20240121,동대문구,58858
20240121,동작구,49823
20240121,마포구,166887
20240121,서대문구,52945
20240121,서초구,102436
20240121,성동구,56876
20240121,성북구,26253
20240121,송파구,90484
20240121,양천구,17085
20240121,영등포구,157266
20240121,은평구,66914
20240121,종로구,126410
20240121,중구,118594
20240121,중랑구,49138
20240122,강남구,393290
20240122,강동구,91928
20240122,강북구,43371
20240122,강서구,178071
20240122,관악구,142320
20240122,광진구,58918
20240122,구로구,122055
